iter	Passed	Remaining
0	203	203648
1	221	110382
2	237	78779
3	253	63036
4	264	52601
5	273	45311
6	280	39848
7	288	35753
8	295	32584
9	303	30054
10	311	27986
11	319	26301
12	327	24829
13	334	23567
14	342	22485
15	350	21535
16	358	20713
17	365	19934
18	372	19213
19	378	18569
20	385	17976
21	393	17481
22	400	17023
23	409	16656
24	416	16244
25	424	15885
26	431	15567
27	439	15255
28	447	14989
29	456	14753
30	464	14506
31	471	14264
32	478	14027
33	485	13803
34	493	13608
35	501	13430
36	514	13381
37	524	13284
38	534	13173
39	545	13090
40	554	12968
41	564	12874
42	575	12803
43	583	12667
44	590	12534
45	598	12405
46	604	12265
47	612	12138
48	618	12010
49	625	11889
50	632	11772
51	640	11669
52	646	11555
53	653	11448
54	660	11345
55	666	11239
56	673	11139
57	679	11043
58	686	10949
59	693	10862
60	700	10785
61	707	10704
62	714	10626
63	721	10551
64	727	10470
65	734	10394
66	741	10324
67	748	10253
68	754	10185
69	761	10115
70	768	10052
71	774	9987
72	781	9923
73	788	9861
74	794	9800
75	801	9744
76	808	9696
77	816	9648
78	822	9592
79	829	9541
80	836	9491
81	843	9440
82	850	9399
83	858	9358
84	864	9311
85	871	9265
86	879	9224
87	885	9178
88	891	9129
89	898	9089
90	905	9049
91	912	9008
92	919	8971
93	927	8941
94	934	8906
95	941	8869
96	950	8844
97	957	8811
98	964	8781
99	971	8745
100	978	8709
101	985	8673
102	993	8648
103	1000	8619
104	1009	8600
105	1016	8574
106	1024	8549
107	1031	8520
108	1039	8496
109	1046	8469
110	1053	8438
111	1061	8414
112	1072	8415
113	1080	8393
114	1086	8364
115	1094	8338
116	1100	8308
117	1107	8281
118	1115	8257
119	1122	8228
120	1129	8203
121	1135	8175
122	1142	8147
123	1149	8119
124	1155	8089
125	1162	8062
126	1169	8037
127	1175	8009
128	1182	7984
129	1189	7962
130	1197	7943
131	1204	7923
132	1213	7907
133	1220	7889
134	1229	7876
135	1236	7857
136	1244	7840
137	1251	7820
138	1259	7799
139	1266	7777
140	1273	7756
141	1280	7738
142	1287	7718
143	1295	7698
144	1302	7680
145	1311	7669
146	1318	7648
147	1325	7627
148	1331	7604
149	1338	7582
150	1345	7565
151	1352	7544
152	1359	7525
153	1365	7502
154	1372	7484
155	1379	7463
156	1386	7442
157	1392	7420
158	1399	7399
159	1406	7384
160	1413	7367
161	1420	7346
162	1427	7328
163	1434	7311
164	1440	7291
165	1447	7271
166	1453	7251
167	1460	7232
168	1467	7213
169	1473	7193
170	1479	7174
171	1487	7158
172	1493	7141
173	1500	7123
174	1508	7109
175	1515	7097
176	1523	7081
177	1530	7065
178	1536	7048
179	1543	7033
180	1550	7017
181	1557	7001
182	1564	6985
183	1571	6968
184	1577	6950
185	1584	6934
186	1591	6919
187	1598	6906
188	1605	6889
189	1612	6873
190	1618	6857
191	1625	6841
192	1632	6827
193	1639	6811
194	1646	6797
195	1653	6781
196	1659	6765
197	1666	6750
198	1673	6734
199	1679	6718
200	1686	6703
201	1693	6688
202	1699	6672
203	1706	6659
204	1713	6645
205	1720	6629
206	1726	6614
207	1733	6599
208	1739	6585
209	1747	6572
210	1757	6571
211	1767	6571
212	1776	6562
213	1783	6550
214	1790	6538
215	1798	6526
216	1804	6512
217	1812	6500
218	1819	6487
219	1825	6473
220	1832	6459
221	1838	6444
222	1845	6430
223	1852	6416
224	1858	6402
225	1865	6388
226	1871	6373
227	1877	6358
228	1884	6344
229	1891	6330
230	1897	6317
231	1904	6304
232	1911	6291
233	1918	6280
234	1925	6267
235	1931	6253
236	1938	6241
237	1945	6228
238	1952	6217
239	1959	6205
240	1965	6191
241	1972	6177
242	1978	6163
243	1985	6150
244	1991	6137
245	1998	6125
246	2005	6113
247	2012	6101
248	2018	6089
249	2025	6076
250	2032	6064
251	2038	6052
252	2045	6039
253	2052	6027
254	2058	6013
255	2065	6001
256	2071	5988
257	2078	5976
258	2084	5963
259	2091	5952
260	2097	5939
261	2102	5922
262	2109	5910
263	2116	5899
264	2122	5887
265	2129	5875
266	2136	5864
267	2142	5851
268	2149	5839
269	2156	5829
270	2162	5817
271	2169	5805
272	2176	5796
273	2183	5785
274	2190	5775
275	2197	5765
276	2204	5753
277	2210	5742
278	2217	5730
279	2224	5718
280	2230	5708
281	2237	5697
282	2243	5685
283	2250	5674
284	2256	5662
285	2263	5650
286	2269	5638
287	2276	5627
288	2282	5616
289	2289	5605
290	2296	5595
291	2302	5583
292	2309	5572
293	2316	5563
294	2323	5552
295	2330	5541
296	2336	5531
297	2343	5521
298	2350	5510
299	2356	5498
300	2363	5487
301	2369	5476
302	2376	5465
303	2382	5455
304	2389	5445
305	2396	5434
306	2402	5424
307	2409	5413
308	2416	5403
309	2423	5393
310	2430	5383
311	2437	5373
312	2443	5364
313	2450	5353
314	2457	5343
315	2463	5332
316	2470	5322
317	2477	5312
318	2483	5302
319	2490	5292
320	2497	5282
321	2503	5271
322	2510	5261
